order_id,payment_sequential,payment_type,payment_installments,payment_value
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71
d574338f566ca28dd67820f48ec1f1d8,1,credit_card,4,278.22
f75666bf6c9e09f6b3f4bcd797b57a3c,1,credit_card,4,97.28
14d9794bbb53614d12cc2df6a045f82b,1,boleto,1,116.70
73596e67516934a7fe64cc6ca6d75545,1,credit_card,3,62.11
c8ea1ac95f4f994f94fb57e99dcca985,1,credit_card,4,49.01
386a7bf9de133efa1516c4145330f3a6,1,boleto,1,90.62
af045d3e5d7082db57d5b5dde3c0c97b,1,credit_card,1,41.42
c5bb91ea2129a21a4f424d356a4d28fa,1,credit_card,4,243.62
5accb23a030458bbfb5eb669903f05b7,1,credit_card,1,35.40
0b3d8a1bbaa4e340e25adfd640f70308,1,credit_card,12,190.09
21b966a378471db65c18fa4ca20d6800,1,credit_card,2,132.82
dd3d73f70b77e2a07f64360620621ca4,1,credit_card,5,262.94
5d5b8c94e2bc6b963da5af8a4b02bf08,1,boleto,1,80.55
1634d04100d187e0f985f2eb2909cba1,1,credit_card,5,105.38
12788af294f51dd5ba2aaed208a45969,1,credit_card,1,77.89
1475652ad485c6469bd02393c70fdaa9,1,credit_card,2,81.73
3ac963599c50b9beedbcebb47eb33af9,1,credit_card,2,123.04
6b64cb311a0d5baa18bc37ead02d657c,1,credit_card,1,55.91
5a359fd847978055438c2563b425d343,1,credit_card,3,191.93
c9677a4babf96837ee697317b7963a92,1,boleto,1,32.77
cb5c4ea12e93c16a94c2bf3dbafa0fe1,1,credit_card,2,50.90
6e2b63d5084b319e8d72270b7882e119,1,credit_card,1,133.64
374a125372cffb30e8e2df55f8448da4,1,boleto,1,73.03
f7535fb641a71ca3e0a6f2657dbfc51d,1,credit_card,1,131.94
0c1457493ca1492c4a4417fc278605b0,2,voucher,1,50.00
7e54f2e2af1f04c407423998a9812c73,1,credit_card,1,92.80
a43482a55cc8d11f47b25992831a794f,1,credit_card,2,154.38
d7c320185a2f9b32f5e2370ff3f8bd64,2,voucher,1,3.90
